 Year ,Company Name,Country,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed
2011,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",-0.01,-0.27,"-36,725,342","-35,925,946","-8,845","-478,195","-112,046","-1,566","-3,610","-197,009","1,875",6%
2010,UNITED NATURAL FOODS INC,UNITED STATES OF AMERICA,Food Distributors," Wholesale trade and commission trade, except of motor vehicles and motorcycles (51) ",-0.01,-0.33,"-38,125,940","-37,146,967","-9,000","-494,357","-115,848","-1,603","-2,898","-356,773","1,505",5%
2012,UNITED PARCEL SERVICE INC,UNITED STATES OF AMERICA,Air Freight & Logistics, Air transport (62) ,-0.06,-2.32,"-3,165,895,052","-3,044,256,010","-1,109,953","-39,549,035","-8,755,221","-175,402","-2,160,625","-71,314,895","1,426,089",12%
2019,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.06,"-121,065,944","-116,201,834","-28,205","-1,542,808","-360,511","-5,020","-15,653","-2,917,059","5,147",6%
2018,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.06,"-116,919,042","-111,383,222","-26,875","-1,479,090","-345,740","-4,794","-13,470","-3,670,279","4,429",5%
2017,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.06,"-94,429,294","-88,634,900","-21,428","-1,176,942","-275,082","-3,819","-11,117","-4,309,661","3,655",5%
2016,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.02,-0.07,"-93,526,356","-85,899,312","-20,649","-1,140,807","-266,722","-3,688","-9,645","-6,188,703","3,172",5%
2015,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors, Renting of machinery and equipment without operator and of personal and household goods (71) ,-0.01,-0.05,"-81,936,459","-80,156,470","-19,330","-1,064,438","-248,822","-3,449","-9,591","-437,512","3,154",5%
2011,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors, Renting of machinery and equipment without operator and of personal and household goods (71) ,-0.02,-0.14,"-64,440,420","-63,041,493","-14,851","-837,728","-196,084","-2,673","-4,172","-344,791","1,372",3%
2010,UNITED RENTALS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors, Renting of machinery and equipment without operator and of personal and household goods (71) ,-0.03,-0.26,"-64,877,726","-63,469,519","-14,875","-843,540","-197,501","-2,682","-3,461","-347,284","1,138",3%
2019,UNIVAR SOLUTIONS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.13,"-56,919,127","-53,356,020","-13,822","-706,998","-164,566","-2,403","-15,546","-2,664,883","5,112",11%
2018,UNIVAR SOLUTIONS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.12,"-50,912,243","-47,232,601","-12,307","-625,743","-145,600","-2,135","-14,450","-2,884,157","4,751",12%
2017,UNIVAR SOLUTIONS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.12,"-43,128,776","-39,578,925","-10,491","-524,059","-121,809","-1,809","-13,816","-2,882,410","4,543",13%
2016,UNIVAR SOLUTIONS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors,Renting of machinery and equipment without operator and of personal and household goods (71),-0.01,-0.18,"-41,576,200","-37,875,395","-10,070","-501,453","-116,532","-1,735","-13,515","-3,061,944","4,444",13%
2015,UNIVAR SOLUTIONS INC,UNITED STATES OF AMERICA,Trading Companies & Distributors, Renting of machinery and equipment without operator and of personal and household goods (71) ,-0.01,-0.15,"-47,988,653","-44,051,591","-11,617","-583,377","-135,640","-2,007","-14,810","-3,194,482","4,870",12%
2019,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-88,031,265","-86,110,540","-23,393","-1,143,253","-267,425","-3,994","-23,498","-470,154","10,992",14%
2017,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-98,744,997","-96,593,269","-25,339","-1,282,912","-300,242","-4,381","-20,635","-527,872","9,653",11%
2016,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",0.00,-0.01,"-112,330,895","-109,885,005","-28,210","-1,459,778","-341,736","-4,915","-19,563","-600,840","9,151",10%
2015,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.01,"-111,039,992","-108,622,777","-27,701","-1,443,109","-337,864","-4,838","-18,162","-594,038","8,496",9%
2014,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.02,"-121,136,661","-118,501,253","-29,697","-1,574,631","-368,742","-5,220","-16,490","-648,342","7,714",8%
2012,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.02,"-122,369,658","-119,708,297","-29,715","-1,590,823","-372,581","-5,242","-14,851","-655,098","6,947",7%
2011,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.02,"-128,544,674","-125,748,331","-31,437","-1,670,970","-391,315","-5,531","-17,018","-688,032","7,961",8%
2010,US BANCORP,UNITED STATES OF AMERICA,Diversified Banks," Financial intermediation, except insurance and pension funding (65) ",-0.01,-0.03,"-123,383,132","-120,699,975","-29,880","-1,604,045","-375,690","-5,276","-14,462","-660,568","6,765",7%
2019,VAIL RESORTS INC,UNITED STATES OF AMERICA,Leisure Facilities,"Recreational, cultural and sporting activities (92)",-0.03,-0.14,"-69,510,106","-68,033,871","-15,479","-883,642","-206,831","-2,796","-2,841","-363,920",-725,6%
2018,VAIL RESORTS INC,UNITED STATES OF AMERICA,Leisure Facilities,"Recreational, cultural and sporting activities (92)",-0.03,-0.16,"-64,377,030","-63,008,533","-14,339","-819,232","-191,769","-2,591","-2,516","-337,408",-642,5%
2018,VAREX IMAGING CORP,UNITED STATES OF AMERICA,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.02,-0.25,"-13,315,203","-10,712,354","-2,391","-138,710","-32,510",-435,"-2,266","-2,426,278",-258,4%
2017,VAREX IMAGING CORP,UNITED STATES OF AMERICA,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.02,-0.17,"-14,494,110","-12,485,317","-2,783","-163,236","-38,016",-508,"-2,045","-1,801,961",-245,3%
2012,VARIAN MEDICAL SYSTEMS INC,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.03,"-18,590,954","-17,472,012","-4,953","-228,148","-52,249",-827,"-6,911","-828,734","2,879",22%
2011,VARIAN MEDICAL SYSTEMS INC,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.03,"-18,330,505","-17,375,607","-4,984","-226,630","-51,824",-828,"-7,296","-666,375","3,040",23%
2010,VARIAN MEDICAL SYSTEMS INC,UNITED STATES OF AMERICA,Health Care Equipment," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.01,-0.03,"-18,020,703","-17,166,778","-4,788","-224,508","-51,519",-804,"-6,223","-568,675","2,593",21%
2019,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.03,-0.22,"-124,991,815","-122,279,118","-28,492","-1,625,987","-381,122","-5,148","-3,353","-670,165","1,568",2%
2018,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.05,-0.32,"-200,617,495","-124,991,769","-29,091","-1,662,076","-389,586","-5,259","-3,221","-73,538,000","1,507",1%
2017,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ,"Financial intermediation, except insurance and pension funding (65)",-0.06,-0.32,"-207,377,676","-134,955,722","-31,347","-1,794,605","-420,661","-5,671","-3,074","-70,168,034","1,438",1%
2016,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ," Financial intermediation, except insurance and pension funding (65) ",-0.06,-0.39,"-216,118,231","-161,097,416","-37,307","-2,142,290","-502,178","-6,757","-2,961","-52,330,707","1,385",1%
2014,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ," Financial intermediation, except insurance and pension funding (65) ",-0.06,-0.32,"-172,738,913","-167,072,437","-38,581","-2,221,806","-520,835","-6,995","-2,370","-2,876,997","1,109",1%
2013,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ," Financial intermediation, except insurance and pension funding (65) ",-0.05,-0.26,"-133,924,714","-121,842,415","-28,173","-1,620,297","-379,823","-5,106","-1,965","-10,047,855",919,1%
2012,VENTAS INC,UNITED STATES OF AMERICA,Health Care REITs ," Financial intermediation, except insurance and pension funding (65) ",-0.05,-0.29,"-112,193,788","-109,759,440","-25,380","-1,459,613","-342,156","-4,599","-1,776","-601,654",831,1%
2016,VERISK ANALYTICS INC,UNITED STATES OF AMERICA,Research & Consulting Services,Activities auxiliary to financial intermediation (67),0.00,-0.01,"-4,139,958","-4,049,094","-1,190","-53,911","-12,596",-198,"-1,613","-22,143",789,18%
2015,VERISK ANALYTICS INC,UNITED STATES OF AMERICA,Research & Consulting Services, Activities auxiliary to financial intermediation (67) ,0.00,-0.01,"-4,346,949","-4,251,560","-1,246","-56,606","-13,227",-207,"-1,667","-23,251",815,18%
2017,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services,Post and telecommunications (64),-0.01,-0.05,"-1,492,468,692","-1,459,997,695","-352,412","-19,424,910","-4,552,122","-62,808","-128,766","-8,004,173","54,195",4%
2016,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services,Post and telecommunications (64),-0.01,-0.06,"-1,724,079,490","-1,686,584,879","-404,221","-22,438,440","-5,258,637","-72,238","-128,711","-9,246,536","54,172",4%
2015,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.01,-0.06,"-1,830,359,887","-1,790,556,533","-428,654","-23,821,490","-5,582,819","-76,638","-133,268","-9,816,574","56,090",4%
2014,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.01,-0.07,"-1,825,432,488","-1,785,747,523","-425,405","-23,756,670","-5,567,854","-76,201","-118,328","-9,790,310","49,802",3%
2013,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.01,-0.07,"-1,685,790,574","-1,649,140,830","-392,974","-21,939,369","-5,141,921","-70,384","-110,054","-9,041,363","46,319",3%
2012,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.02,-0.09,"-1,804,962,383","-1,765,732,107","-418,831","-23,489,670","-5,505,471","-75,148","-104,454","-9,680,664","43,963",3%
2011,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.02,-0.09,"-1,730,350,992","-1,692,725,711","-404,625","-22,519,709","-5,277,798","-72,384","-121,755","-9,280,254","51,244",4%
2010,VERIZON COMMUNICATIONS INC,UNITED STATES OF AMERICA,Integrated Telecommunication Services, Post and telecommunications (64) ,-0.02,-0.10,"-1,866,338,266","-1,825,769,483","-433,916","-24,288,691","-5,692,654","-77,796","-113,874","-10,009,779","47,927",3%
2019,VERSO CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.21,-33.53,"-502,925,151","-438,104,532","-160,727","-5,243,923","-1,207,585","-22,939","-577,132","-57,733,666","125,353",11%
2018,VERSO CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.34,-6.08,"-900,121,729","-760,911,312","-251,241","-9,646,614","-2,230,568","-39,217","-633,333","-126,615,875","206,431",9%
2017,VERSO CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.29,-357.00,"-713,993,098","-594,017,591","-285,194","-7,021,713","-1,652,371","-34,115","-581,146","-110,618,965","217,997",7%
2016,VERSO CORP,UNITED STATES OF AMERICA,Paper Products,Paper,-0.32,NA,"-855,126,065","-690,799,132","-238,294","-8,738,630","-2,017,892","-36,690","-623,652","-152,888,432","216,657",9%
2013,VERSO CORP,UNITED STATES OF AMERICA,Paper Products, Paper ,-0.42,-18.42,"-576,753,563","-448,818,092","-129,754","-5,743,283","-1,333,613","-21,207","-270,492","-120,506,882","69,761",22%
2012,VERSO CORP,UNITED STATES OF AMERICA,Paper Products, Paper ,-0.41,-63.72,"-598,246,538","-458,579,450","-136,719","-5,859,521","-1,359,473","-22,108","-296,871","-132,075,508","83,111",23%
2011,VERSO CORP,UNITED STATES OF AMERICA,Paper Products, Paper ,-0.45,-10.76,"-769,300,263","-589,672,646","-166,057","-7,494,955","-1,739,438","-27,270","-381,914","-169,894,282","76,299",24%
2010,VERSO CORP,UNITED STATES OF AMERICA,Paper Products, Paper ,-0.44,-146.43,"-698,904,956","-540,845,072","-154,636","-6,902,835","-1,602,568","-25,328","-334,905","-149,117,767","78,154",23%
2018,VIATRIS INC,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.02,-0.14,"-239,732,081","-216,415,555","-54,130","-2,857,779","-663,990","-9,490","-33,495","-19,711,595","13,955",10%
2017,VIATRIS INC,UNITED STATES OF AMERICA,Pharmaceuticals,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-0.02,-0.13,"-250,198,725","-236,996,951","-59,028","-3,130,657","-727,717","-10,367","-34,883","-9,253,655","14,533",10%
2016,VIATRIS INC,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.02,-0.13,"-249,141,265","-235,588,879","-58,369","-3,113,417","-724,112","-10,273","-32,450","-9,627,284","13,519",10%
2015,VIATRIS INC,UNITED STATES OF AMERICA,Pharmaceuticals," Manufacture of medical, precision and optical instruments, watches and clocks (33) ",-0.03,-0.12,"-240,122,449","-226,401,238","-55,542","-2,994,432","-697,157","-9,815","-27,203","-9,948,396","11,333",8%
2019,VIRTUSA CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.00,-0.08,"-5,730,072","-5,081,701","-1,359","-67,384","-15,671",-234,"-1,547","-562,794",616,13%
2018,VIRTUSA CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),0.00,-0.10,"-4,814,385","-4,328,191","-1,151","-57,399","-13,353",-198,"-1,267","-413,332",505,13%
2017,VIRTUSA CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services,Computer and related activities (72),-0.01,-0.31,"-5,875,862","-5,748,103","-1,450","-76,309","-17,803",-255,"-1,066","-31,301",425,9%
2016,VIRTUSA CORP,UNITED STATES OF AMERICA,IT Consulting & Other Services, Computer and related activities (72) ,-0.01,-0.08,"-3,613,706","-3,451,736",-884,"-45,810","-10,679",-154,-745,"-103,995",297,10%
2014,VISA INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-21,912,588","-21,433,066","-6,747","-283,164","-65,192","-1,100","-14,518","-114,587","5,785",25%
2013,VISA INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-21,533,989","-21,063,340","-6,374","-278,541","-64,295","-1,052","-12,251","-113,017","4,882",22%
2012,VISA INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-20,487,650","-20,039,963","-6,024","-265,050","-61,207",-997,"-11,336","-107,591","4,517",22%
2011,VISA INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-18,252,618","-17,853,378","-5,537","-235,955","-54,378",-907,"-11,442","-95,580","4,559",24%
2010,VISA INC,UNITED STATES OF AMERICA,Data Processing & Outsourced Services, Computer and related activities (72) ,0.00,0.00,"-21,853,796","-21,377,059","-6,076","-283,092","-65,601","-1,024","-9,343","-115,324","3,723",18%
2017,VISTEON CORP,UNITED STATES OF AMERICA,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.05,-0.53,"-144,731,526","-10,052,338","-3,125","-136,456","-30,812",-503,"-26,272","-134,484,405","2,385",2%
2016,VISTEON CORP,UNITED STATES OF AMERICA,Auto Parts & Equipment,Manufacture of machinery and equipment n.e.c. (29),-0.05,-0.67,"-161,063,655","-10,129,645","-3,146","-137,497","-31,051",-507,"-26,397","-150,737,808","2,396",2%
2015,VISTEON CORP,UNITED STATES OF AMERICA,Auto Parts & Equipment, Manufacture of machinery and equipment n.e.c. (29) ,-0.05,-0.92,"-167,772,960","-16,717,891","-4,666","-225,163","-51,585",-782,"-26,826","-150,748,481","2,435",2%
2012,VISTEON CORP,UNITED STATES OF AMERICA,Auto Parts & Equipment, Manufacture of machinery and equipment n.e.c. (29) ,-0.02,-0.48,"-104,887,052","-97,160,149","-23,765","-1,297,367","-301,957","-4,203","-49,158","-6,054,916","4,462",6%
2011,VISTEON CORP,UNITED STATES OF AMERICA,Auto Parts & Equipment, Manufacture of machinery and equipment n.e.c. (29) ,-0.02,-0.53,"-129,346,419","-121,421,895","-29,833","-1,621,779","-377,272","-5,266","-65,698","-5,830,639","5,963",6%
